# UBX-RXM-RAWX — Raw pseudorange measurements
# rcvTow	week	gnssId	svId	sigId	prMes	cpMes	doMes	cno	locktime	trkStat	group
209053.991	2413	0	12	0	21582741.532	113418047.942	-4493.9	28	9280	0x0f	sky
209053.991	2413	0	15	0	18195057.514	95615664.462	342.4	32	64500	0x07	sky
209053.991	2413	0	24	0	22854195.960	120099609.516	303.8	23	0	0x01	sky
209053.991	2413	0	25	0	21514913.881	113061633.222	-3773.1	27	7300	0x07	sky
209053.991	2413	0	23	0	22504341.957	118261125.079	-205.7	28	64500	0x0f	sky
209053.991	2413	0	3	0	-67407778.704	-354230275.358	-4157.4	40	20000	0x0f	synth
209053.991	2413	0	4	0	-66599983.350	-349985283.152	-3331.9	38	20000	0x0f	synth
209053.991	2413	0	8	0	-67188558.627	-353078263.907	-2082.1	40	20000	0x0f	synth
209053.991	2413	0	7	0	-65464076.963	-344016052.038	-5556.2	36	20000	0x07	synth
209053.991	2413	0	12	3	21582742.067	88377711.163	-3501.5	33	58991	0x07	sky
209053.991	2413	0	25	3	21514921.522	88100003.035	-2940.4	30	55000	0x07	sky
209053.991	2413	0	23	3	22504347.776	92151532.363	-160.8	29	55000	0x0f	sky
209053.991	2413	0	15	3	18195049.212	74505684.118	269.0	20	0	0x01	sky
209053.991	2413	0	24	3	22854197.063	93584122.915	235.8	28	41940	0x07	sky
209054.991	2413	0	12	0	21583594.203	113422540.973	-4492.8	28	10280	0x0f	sky
209054.991	2413	0	15	0	18194992.407	95615322.122	342.5	32	64500	0x07	sky
209054.991	2413	0	24	0	22854139.188	120099311.627	308.1	23	0	0x01	sky
209054.991	2413	0	25	0	21515633.154	113065406.142	-3772.7	27	8300	0x07	sky
209054.991	2413	0	23	0	22504381.395	118261331.193	-206.1	28	64500	0x0f	sky
209054.991	2413	0	3	0	-67406988.477	-354226122.886	-4142.4	40	21000	0x0f	synth
209054.991	2413	0	4	0	-66599350.187	-349981956.246	-3316.7	38	21000	0x0f	synth
209054.991	2413	0	8	0	-67188163.468	-353076186.975	-2067.1	40	21000	0x0f	synth
209054.991	2413	0	7	0	-65463020.491	-344010500.748	-5541.2	36	21000	0x07	synth
209054.991	2413	0	12	3	21583597.235	88381212.254	-3501.3	33	59991	0x07	sky
209054.991	2413	0	25	3	21515639.401	88102942.961	-2940.4	30	56000	0x07	sky
209054.991	2413	0	23	3	22504386.929	92151692.897	-160.7	30	56000	0x0f	sky
209054.991	2413	0	15	3	18194983.994	74505417.633	268.0	22	0	0x01	sky
209054.991	2413	0	24	3	22854139.342	93583886.598	236.7	28	42940	0x07	sky
209055.991	2413	0	12	0	21584448.666	113427033.643	-4492.5	28	11280	0x0f	sky
209055.991	2413	0	15	0	18194927.338	95614979.950	341.7	31	64500	0x07	sky
209055.991	2413	0	24	0	22854080.033	120099000.187	302.9	22	0	0x01	sky
209055.991	2413	0	25	0	21516351.577	113069178.879	-3772.9	27	9300	0x07	sky
209055.991	2413	0	23	0	22504420.758	118261537.106	-206.0	28	64500	0x0f	sky
209055.991	2413	0	3	0	-67406199.287	-354221975.350	-4138.2	40	22000	0x0f	synth
209055.991	2413	0	4	0	-66598717.943	-349978634.282	-3312.7	38	22000	0x0f	synth
209055.991	2413	0	8	0	-67187769.264	-353074115.110	-2062.3	40	22000	0x0f	synth
209055.991	2413	0	7	0	-65461965.048	-344004954.644	-5536.5	36	22000	0x07	synth
209055.991	2413	0	12	3	21584452.315	88384713.047	-3501.1	33	60991	0x07	sky
209055.991	2413	0	25	3	21516357.459	88105882.724	-2939.4	30	57000	0x07	sky
209055.991	2413	0	23	3	22504426.181	92151853.367	-160.5	30	57000	0x0f	sky
209055.991	2413	0	15	3	18194919.312	74505152.113	265.9	22	0	0x01	sky
209055.991	2413	0	24	3	22854081.623	93583649.750	236.8	28	43940	0x07	sky
209056.991	2413	0	12	0	21585303.722	113431526.030	-4491.9	28	12280	0x0f	sky
209056.991	2413	0	15	0	18194862.093	95614638.078	342.0	32	64500	0x07	sky
209056.991	2413	0	24	0	22854022.998	120098700.785	305.2	23	0	0x01	sky
209056.991	2413	0	25	0	21517069.091	113072951.506	-3772.2	27	10300	0x07	sky
209056.991	2413	0	23	0	22504460.233	118261743.108	-206.2	28	64500	0x0f	sky
209056.991	2413	0	3	0	-67405410.033	-354217828.380	-4145.0	40	23000	0x0f	synth
209056.991	2413	0	4	0	-66598085.814	-349975312.899	-3319.4	38	23000	0x0f	synth
209056.991	2413	0	8	0	-67187375.039	-353072043.905	-2069.5	40	23000	0x0f	synth
209056.991	2413	0	7	0	-65460909.730	-343999409.319	-5543.6	36	23000	0x07	synth
209056.991	2413	0	12	3	21585307.159	88388213.637	-3501.1	33	61991	0x07	sky
209056.991	2413	0	25	3	21517075.405	88108822.436	-2939.2	30	58000	0x07	sky
209056.991	2413	0	23	3	22504465.415	92152013.813	-160.4	29	58000	0x0f	sky
209056.991	2413	0	15	3	18194854.675	74504888.213	266.3	23	0	0x01	sky
209056.991	2413	0	24	3	22854023.836	93583412.526	237.5	28	44940	0x07	sky
209057.991	2413	0	12	0	21586159.021	113436018.294	-4492.3	28	13280	0x0f	sky
209057.991	2413	0	15	0	18194796.925	95614296.600	341.1	31	64500	0x07	sky
209057.991	2413	0	24	0	22853964.611	120098393.764	311.6	23	0	0x01	sky
209057.991	2413	0	25	0	21517785.285	113076724.234	-3772.5	27	11300	0x07	sky
209057.991	2413	0	23	0	22504499.613	118261949.143	-206.1	28	64500	0x0f	sky
209057.991	2413	0	3	0	-67404621.098	-354213683.042	-4146.8	40	24000	0x0f	synth
209057.991	2413	0	4	0	-66597454.024	-349971993.172	-3321.5	38	24000	0x0f	synth
209057.991	2413	0	8	0	-67186981.328	-353069974.462	-2071.3	40	24000	0x0f	synth
209057.991	2413	0	7	0	-65459854.748	-343993865.898	-5544.7	36	24000	0x07	synth
209057.991	2413	0	12	3	21586162.126	88391714.097	-3501.1	32	62991	0x07	sky
209057.991	2413	0	25	3	21517793.269	88111762.263	-2939.5	30	59000	0x07	sky
209057.991	2413	0	23	3	22504504.582	92152174.412	-161.6	30	59000	0x0f	sky
209057.991	2413	0	15	3	18194790.340	74504624.249	266.1	23	0	0x01	sky
209057.991	2413	0	24	3	22853965.849	93583174.963	238.2	27	45940	0x07	sky
209058.991	2413	0	12	0	21587013.385	113440510.355	-4492.2	28	14280	0x0f	sky
209058.991	2413	0	15	0	18194731.969	95613955.549	341.1	31	64500	0x07	sky
209058.991	2413	0	24	0	22853905.999	120098085.979	309.0	22	0	0x01	sky
209058.991	2413	0	25	0	21518503.849	113080497.021	-3772.6	27	12300	0x07	sky
209058.991	2413	0	23	0	22504538.572	118262155.285	-206.4	28	64500	0x0f	sky
209058.991	2413	0	3	0	-67403832.725	-354209540.414	-4139.1	40	25000	0x0f	synth
209058.991	2413	0	4	0	-66596822.814	-349968676.177	-3313.5	38	25000	0x0f	synth
209058.991	2413	0	8	0	-67186587.981	-353067907.891	-2062.8	40	25000	0x0f	synth
209058.991	2413	0	7	0	-65458800.434	-343988325.407	-5536.9	36	25000	0x07	synth
209058.991	2413	0	12	3	21587017.019	88395214.368	-3500.2	33	63991	0x07	sky
209058.991	2413	0	25	3	21518511.248	88114702.088	-2940.0	30	60000	0x07	sky
209058.991	2413	0	23	3	22504543.684	92152335.026	-160.9	29	60000	0x0f	sky
209058.991	2413	0	15	3	18194726.204	74504362.071	270.4	23	0	0x01	sky
209058.991	2413	0	24	3	22853907.765	93582937.134	237.8	27	46940	0x07	sky
209059.991	2413	0	12	0	21587866.531	113445002.216	-4491.3	27	15280	0x0f	sky
209059.991	2413	0	15	0	18194667.104	95613614.922	339.9	32	64500	0x07	sky
209059.991	2413	0	24	0	22853847.260	120097777.316	310.3	22	0	0x01	sky
209059.991	2413	0	25	0	21519221.239	113084269.919	-3773.2	27	13300	0x07	sky
209059.991	2413	0	23	0	22504577.873	118262361.635	-207.1	27	64500	0x0f	sky
209059.991	2413	0	3	0	-67403044.607	-354205399.077	-4137.9	40	26000	0x0f	synth
209059.991	2413	0	4	0	-66596191.798	-349965360.454	-3312.6	38	26000	0x0f	synth
209059.991	2413	0	8	0	-67186194.954	-353065842.713	-2061.6	39	26000	0x0f	synth
209059.991	2413	0	7	0	-65457746.400	-343982786.406	-5536.0	36	26000	0x07	synth
209059.991	2413	0	12	3	21587871.782	88398714.536	-3500.0	32	64500	0x07	sky
209059.991	2413	0	25	3	21519229.193	88117642.002	-2939.7	29	61000	0x07	sky
209059.991	2413	0	23	3	22504582.986	92152495.767	-160.9	29	61000	0x0f	sky
209059.991	2413	0	15	3	18194660.949	74504094.039	269.4	23	0	0x01	sky
209059.991	2413	0	24	3	22853849.615	93582698.970	238.0	27	47940	0x07	sky
209060.991	2413	0	12	0	21588720.153	113449494.311	-4492.2	27	16280	0x0f	sky
209060.991	2413	0	15	0	18194602.106	95613274.980	339.1	32	64500	0x07	sky
