# UBX-RXM-RAWX — Raw pseudorange measurements
# rcvTow	week	gnssId	svId	sigId	prMes	cpMes	doMes	cno	locktime	trkStat	group
212137.996	2413	0	24	0	21510419.923	113038018.757	2311.6	15	0	0x01	sky
212137.996	2413	0	7	0	21755289.407	114324817.003	-4183.7	25	0	0x01	synth
212137.996	2413	0	8	0	20001932.464	105110864.102	-718.4	29	760	0x03	synth
212137.996	2413	0	3	0	19800004.146	104049709.135	-2798.5	30	1920	0x03	synth
212137.996	2413	0	25	0	22830407.285	119974599.981	-2416.1	18	0	0x01	sky
212137.996	2413	0	4	0	20600910.716	108258514.053	-1971.9	28	1120	0x03	synth
212137.996	2413	0	15	0	17560202.367	92279486.192	-97.9	17	0	0x01	sky
212137.996	2413	0	23	3	21853109.428	89484829.951	478.7	27	360	0x07	sky
212138.996	2413	0	24	0	21509980.770	113035711.097	2301.2	16	0	0x01	sky
212138.996	2413	0	7	0	21756084.224	114328993.345	-4178.3	25	0	0x01	synth
212138.996	2413	0	8	0	20002065.924	105111565.382	-709.4	29	0	0x01	synth
212138.996	2413	0	12	0	23133279.898	121566205.568	-2522.0	19	0	0x01	sky
212138.996	2413	0	3	0	19800527.038	104052471.067	-2791.3	30	100	0x03	synth
212138.996	2413	0	25	0	22830866.913	119977014.711	-2404.9	18	0	0x01	sky
212138.996	2413	0	4	0	20601283.840	108260476.813	-1964.0	28	100	0x03	synth
212138.996	2413	0	15	0	17560220.744	92279582.417	-96.4	18	0	0x01	sky
212138.996	2413	0	23	3	21852992.259	89484351.659	478.7	26	1360	0x07	sky
212139.996	2413	0	24	0	21509542.781	113033409.665	2303.3	17	0	0x01	sky
212139.996	2413	0	7	0	21756881.685	114333184.812	-4172.8	26	0	0x01	synth
212139.996	2413	0	8	0	20002200.949	105112275.223	-708.6	30	0	0x01	synth
212139.996	2413	0	12	0	23133758.326	121568720.128	-2523.4	18	0	0x01	sky
212139.996	2413	0	3	0	19801054.763	104055244.218	-2784.7	30	420	0x03	synth
212139.996	2413	0	25	0	22831325.706	119979425.655	-2412.7	18	0	0x01	sky
212139.996	2413	0	4	0	20601660.219	108262454.343	-1966.6	28	0	0x01	synth
212139.996	2413	0	15	0	17560240.983	92279689.118	-80.7	17	0	0x01	sky
212139.996	2413	0	23	3	21852874.844	89483873.237	478.0	26	2360	0x07	sky
212140.996	2413	0	24	0	21509105.391	113031111.514	2297.8	17	0	0x01	sky
212140.996	2413	0	7	0	21757676.773	114337362.643	-4178.4	26	0	0x01	synth
212140.996	2413	0	8	0	20002340.735	105113009.511	-710.8	29	20	0x01	synth
212140.996	2413	0	12	0	23134239.042	121571246.562	-2520.2	19	0	0x01	sky
212140.996	2413	0	3	0	19801589.167	104058052.524	-2792.1	29	120	0x03	synth
212140.996	2413	0	25	0	22831783.319	119981830.605	-2408.0	18	0	0x01	sky
212140.996	2413	0	4	0	20602033.598	108264416.695	-1964.3	28	0	0x01	synth
212140.996	2413	0	15	0	17560260.986	92279794.067	-90.2	18	0	0x01	sky
212140.996	2413	0	23	3	21852758.812	89483394.728	478.1	26	3360	0x07	sky
212141.996	2413	0	24	0	21508666.719	113028806.145	2307.9	17	0	0x01	sky
212141.996	2413	0	7	0	21758471.270	114341537.813	-4175.3	26	0	0x01	synth
212141.996	2413	0	8	0	20002474.842	105113714.435	-706.8	29	520	0x03	synth
212141.996	2413	0	12	0	23134717.756	121573761.834	-2520.6	18	0	0x01	sky
212141.996	2413	0	3	0	19802120.554	104060845.710	-2788.3	29	520	0x03	synth
212141.996	2413	0	25	0	22832242.364	119984243.421	-2422.9	18	0	0x01	sky
212141.996	2413	0	4	0	20602408.818	108266389.033	-1962.1	28	980	0x03	synth
212141.996	2413	0	15	0	17560278.124	92279884.017	-90.2	19	0	0x01	sky
212141.996	2413	0	23	3	21852641.307	89482916.356	478.3	26	4360	0x07	sky
212142.996	2413	0	24	0	21508227.963	113026500.623	2302.4	17	0	0x01	sky
212142.996	2413	0	7	0	21759264.415	114345705.273	-4171.6	26	0	0x01	synth
212142.996	2413	0	8	0	20002610.009	105114424.934	-703.3	29	920	0x03	synth
212142.996	2413	0	12	0	23135196.975	121576280.365	-2516.7	17	0	0x01	sky
212142.996	2413	0	3	0	19802649.998	104063627.520	-2783.5	30	920	0x03	synth
212142.996	2413	0	25	0	22832698.873	119986642.035	-2414.3	17	0	0x01	sky
212142.996	2413	0	4	0	20602781.506	108268346.708	-1958.9	28	1980	0x07	synth
212142.996	2413	0	15	0	17560296.572	92279980.842	-103.1	19	0	0x01	sky
212142.996	2413	0	23	3	21852524.583	89482437.866	478.6	25	5360	0x07	sky
212143.996	2413	0	24	0	21507789.277	113024194.597	2311.0	16	0	0x01	sky
212143.996	2413	0	7	0	21760059.355	114349883.583	-4171.2	26	0	0x01	synth
212143.996	2413	0	8	0	20002740.401	105115109.965	-701.2	30	0	0x01	synth
212143.996	2413	0	12	0	23135677.156	121578803.694	-2512.5	17	0	0x01	sky
212143.996	2413	0	3	0	19803181.860	104066413.321	-2782.0	30	1920	0x03	synth
212143.996	2413	0	25	0	22833158.335	119989055.948	-2418.2	18	0	0x01	sky
212143.996	2413	0	4	0	20603153.905	108270306.180	-1954.2	28	2980	0x07	synth
212143.996	2413	0	15	0	17560314.528	92280074.855	-94.7	19	0	0x01	sky
212143.996	2413	0	23	3	21852407.124	89481959.448	478.4	25	6360	0x07	sky
212144.996	2413	0	24	0	21507350.443	113021888.508	2308.3	16	0	0x01	sky
212144.996	2413	0	7	0	21760853.826	114354057.770	-4171.1	26	0	0x01	synth
212144.996	2413	0	8	0	20002870.417	105115793.436	-703.9	30	780	0x03	synth
212144.996	2413	0	12	0	23136156.889	121581324.945	-2529.9	17	0	0x01	sky
212144.996	2413	0	3	0	19803711.613	104069199.649	-2786.5	30	2920	0x03	synth
212144.996	2413	0	25	0	22833617.172	119991467.162	-2418.4	18	0	0x01	sky
212144.996	2413	0	4	0	20603526.109	108272266.315	-1959.0	28	3980	0x07	synth
212144.996	2413	0	15	0	17560333.890	92280176.604	-105.7	19	0	0x01	sky
212144.996	2413	0	23	3	21852290.639	89481481.135	477.8	25	7360	0x07	sky
212145.996	2413	0	24	0	21506911.715	113019583.355	2297.6	16	0	0x01	sky
212145.996	2413	0	7	0	21761647.171	114358227.636	-4168.6	26	0	0x01	synth
212145.996	2413	0	8	0	20003007.572	105116494.746	-701.3	30	1780	0x03	synth
212145.996	2413	0	12	0	23136635.481	121583839.762	-2524.2	17	0	0x01	sky
212145.996	2413	0	3	0	19804244.854	104071982.511	-2782.2	30	3920	0x03	synth
212145.996	2413	0	25	0	22834075.881	119993878.098	-2409.7	17	0	0x01	sky
212145.996	2413	0	4	0	20603897.812	108274213.530	-1955.3	28	500	0x03	synth
212145.996	2413	0	15	0	17560353.126	92280277.795	-103.2	19	0	0x01	sky
212145.996	2413	0	23	3	21852172.586	89481002.872	478.1	25	8360	0x07	sky
212146.996	2413	0	24	0	21506474.650	113017287.079	2307.0	17	0	0x01	sky
212146.996	2413	0	7	0	21762441.837	114362402.808	-4179.8	26	0	0x01	synth
212146.996	2413	0	8	0	20003143.753	105117202.963	-712.4	29	2780	0x03	synth
212146.996	2413	0	12	0	23137116.832	121586369.491	-2520.6	17	0	0x01	sky
212146.996	2413	0	3	0	19804775.977	104074772.633	-2794.6	30	4920	0x03	synth
212146.996	2413	0	25	0	22834535.223	119996291.653	-2409.3	18	0	0x01	sky
212146.996	2413	0	4	0	20604270.942	108276177.416	-1968.4	28	1500	0x03	synth
212146.996	2413	0	15	0	17560372.114	92280377.498	-104.8	19	0	0x01	sky
212146.996	2413	0	23	3	21852055.746	89480524.821	477.6	25	9360	0x07	sky
212147.996	2413	0	24	0	21506034.334	113014972.426	2301.9	17	0	0x01	sky
212147.996	2413	0	7	0	21763239.205	114366593.206	-4172.3	26	0	0x01	synth
212147.996	2413	0	8	0	20003281.713	105117954.757	-703.3	29	0	0x01	synth
212147.996	2413	0	12	0	23137596.917	121588892.361	-2522.8	17	0	0x01	sky
212147.996	2413	0	3	0	19805306.412	104077587.470	-2785.6	29	200	0x03	synth
212147.996	2413	0	25	0	22834993.528	119998700.506	-2416.1	19	0	0x01	sky
212147.996	2413	0	4	0	20604646.470	108278147.618	-1958.9	28	0	0x01	synth
212147.996	2413	0	15	0	17560390.971	92280476.528	-94.8	19	0	0x01	sky
212147.996	2413	0	23	3	21851938.909	89480047.001	478.0	24	10360	0x07	sky
212148.996	2413	0	24	0	21505595.489	113012667.050	2304.6	18	0	0x01	sky
212148.996	2413	0	7	0	21764034.001	114370770.513	-4175.1	26	0	0x01	synth
212148.996	2413	0	8	0	20003414.574	105118652.792	-707.6	29	200	0x03	synth
212148.996	2413	0	12	0	23138077.805	121591419.032	-2520.2	17	0	0x01	sky
212148.996	2413	0	3	0	19805838.047	104080380.468	-2789.0	30	20	0x01	synth
212148.996	2413	0	25	0	22835452.030	120001110.203	-2413.5	19	0	0x01	sky
212148.996	2413	0	4	0	20605019.647	108280108.247	-1963.2	28	200	0x03	synth
212148.996	2413	0	15	0	17560409.823	92280576.333	-101.7	19	0	0x01	sky
212148.996	2413	0	23	3	21851821.832	89479569.357	477.5	25	11360	0x07	sky
212149.996	2413	0	24	0	21505157.710	113010365.552	2307.7	18	0	0x01	sky
212149.996	2413	0	7	0	21764829.605	114374951.366	-4166.5	25	0	0x01	synth
212149.996	2413	0	8	0	20003551.645	105119361.886	-699.5	30	1200	0x03	synth
212149.996	2413	0	12	0	23138555.490	121593929.762	-2514.7	17	0	0x01	sky
212149.996	2413	0	3	0	19806369.618	104083171.711	-2781.8	30	1020	0x03	synth
212149.996	2413	0	25	0	22835911.256	120003523.001	-2397.2	18	0	0x01	sky
212149.996	2413	0	4	0	20605391.944	108282073.242	-1955.9	28	1200	0x03	synth
212149.996	2413	0	15	0	17560428.593	92280674.691	-97.3	18	0	0x01	sky
212149.996	2413	0	23	3	21851704.349	89479091.909	478.1	25	12360	0x07	sky
212150.996	2413	0	24	0	21504719.526	113008063.225	2310.3	18	0	0x01	sky
212150.996	2413	0	7	0	21765623.074	114379121.044	-4172.3	25	0	0x01	synth
212150.996	2413	0	8	0	20003686.017	105120079.181	-706.7	30	0	0x01	synth
212150.996	2413	0	12	0	23139032.672	121596436.481	-2511.0	17	0	0x01	sky
212150.996	2413	0	3	0	19806902.908	104085977.066	-2789.0	30	0	0x01	synth
212150.996	2413	0	25	0	22836368.595	120005926.570	-2421.8	18	0	0x01	sky
212150.996	2413	0	4	0	20605766.717	108284034.693	-1963.0	28	0	0x01	synth
212150.996	2413	0	15	0	17560448.398	92280778.568	-110.9	19	0	0x01	sky
212150.996	2413	0	23	3	21851587.266	89478596.720	476.8	25	820	0x07	sky
212151.996	2413	0	24	0	21504281.615	113005761.911	2310.2	17	0	0x01	sky
212151.996	2413	0	7	0	21766417.339	114383294.767	-4173.7	26	0	0x01	synth
212151.996	2413	0	8	0	20003823.220	105120799.833	-703.7	29	500	0x03	synth
212151.996	2413	0	12	0	23139509.864	121598944.190	-2525.8	17	0	0x01	sky
212151.996	2413	0	3	0	19807436.508	104088781.359	-2786.4	30	780	0x03	synth
212151.996	2413	0	25	0	22836827.808	120008339.137	-2408.0	18	0	0x01	sky
212151.996	2413	0	4	0	20606139.337	108285992.395	-1960.1	28	440	0x03	synth
212151.996	2413	0	15	0	17560469.058	92280887.589	-106.8	19	0	0x01	sky
212151.996	2413	0	23	3	21851471.342	89478119.313	477.2	25	1820	0x07	sky
212152.996	2413	0	24	0	21503840.961	113003446.822	2312.8	18	0	0x01	sky
212152.996	2413	0	7	0	21767211.041	114387465.491	-4179.4	26	0	0x01	synth
212152.996	2413	0	8	0	20003957.362	105121508.199	-710.9	30	1500	0x03	synth
212152.996	2413	0	12	0	23139987.708	121601455.156	-2500.8	17	0	0x01	sky
212152.996	2413	0	3	0	19807966.343	104091572.278	-2794.2	30	1780	0x03	synth
212152.996	2413	0	25	0	22837285.504	120010744.440	-2411.6	18	0	0x01	sky
212152.996	2413	0	4	0	20606511.974	108287957.020	-1968.0	28	1440	0x03	synth
212152.996	2413	0	15	0	17560488.267	92280987.828	-96.7	19	0	0x01	sky
212152.996	2413	0	23	3	21851355.319	89477641.872	477.7	25	2820	0x07	sky
212153.996	2413	0	24	0	21503402.343	113001141.483	2307.4	18	0	0x01	sky
212153.996	2413	0	7	0	21768004.704	114391635.981	-4175.5	26	0	0x01	synth
212153.996	2413	0	8	0	20004095.337	105122216.690	-706.2	30	2500	0x03	synth
212153.996	2413	0	12	0	23140467.011	121603974.528	-2521.0	17	0	0x01	sky
212153.996	2413	0	3	0	19808499.311	104094363.415	-2789.6	30	2780	0x03	synth
212153.996	2413	0	25	0	22837741.949	120013143.540	-2410.0	18	0	0x01	sky
212153.996	2413	0	4	0	20606886.973	108289921.935	-1964.2	28	2440	0x03	synth
212153.996	2413	0	15	0	17560510.559	92281105.426	-106.2	19	0	0x01	sky
212153.996	2413	0	23	3	21851239.186	89477164.267	477.8	25	3820	0x07	sky
212154.996	2413	0	24	0	21502964.470	112998840.230	2299.1	18	0	0x01	sky
212154.996	2413	0	7	0	21768800.014	114395815.476	-4173.6	26	0	0x01	synth
212154.996	2413	0	8	0	20004230.698	105122923.704	-705.9	30	3500	0x07	synth
212154.996	2413	0	12	0	23140945.624	121606489.108	-2504.7	18	0	0x01	sky
212154.996	2413	0	3	0	19809031.948	104097152.660	-2788.7	30	3780	0x0f	synth
212154.996	2413	0	25	0	22838200.678	120015554.073	-2409.9	18	0	0x01	sky
212154.996	2413	0	4	0	20607261.288	108291885.284	-1962.3	28	3440	0x07	synth
212154.996	2413	0	15	0	17560529.348	92281204.436	-106.1	18	0	0x01	sky
212154.996	2413	0	23	3	21851121.227	89476686.691	477.7	25	4820	0x07	sky
212155.996	2413	0	7	0	21769594.416	114399989.831	-4175.9	26	0	0x01	synth
212155.996	2413	0	8	0	20004363.543	105123629.901	-709.3	30	4500	0x07	synth
212155.996	2413	0	12	0	23141424.150	121609004.539	-2508.1	18	0	0x01	sky
212155.996	2413	0	3	0	19809562.314	104099941.703	-2791.6	30	4780	0x0f	synth
212155.996	2413	0	25	0	22838659.132	120017962.903	-2405.3	18	0	0x01	sky
212155.996	2413	0	4	0	20607635.064	108293848.030	-1965.3	28	4440	0x07	synth
212155.996	2413	0	15	0	17560550.325	92281314.321	-107.3	18	0	0x01	sky
212155.996	2413	0	23	3	21851004.558	89476209.252	477.1	25	5820	0x07	sky
212156.996	2413	0	7	0	21770387.834	114404160.089	-4175.5	26	0	0x01	synth
212156.996	2413	0	8	0	20004497.725	105124334.057	-710.0	30	5500	0x07	synth
212156.996	2413	0	12	0	23141900.613	121611508.178	-2517.6	18	0	0x01	sky
212156.996	2413	0	3	0	19810093.557	104102743.325	-2792.7	30	180	0x03	synth
212156.996	2413	0	25	0	22839116.439	120020366.489	-2411.3	18	0	0x01	sky
212156.996	2413	0	4	0	20608008.629	108295816.247	-1965.8	28	0	0x01	synth
212156.996	2413	0	15	0	17560569.863	92281417.029	-134.1	17	0	0x01	sky
212156.996	2413	0	23	3	21850888.617	89475731.924	477.3	25	6820	0x07	sky
212157.996	2413	0	24	0	21501652.231	112991944.456	2298.1	17	0	0x01	sky
212157.996	2413	0	7	0	21771182.900	114408338.171	-4182.3	26	0	0x01	synth
212157.996	2413	0	8	0	20004632.495	105125052.638	-715.7	30	320	0x03	synth
212157.996	2413	0	12	0	23142379.229	121614022.778	-2525.1	18	0	0x01	sky
212157.996	2413	0	3	0	19810621.296	104105517.473	-2797.2	30	320	0x03	synth
212157.996	2413	0	25	0	22839575.829	120022780.247	-2405.9	18	0	0x01	sky
212157.996	2413	0	4	0	20608382.507	108297780.129	-1970.6	28	140	0x03	synth
212157.996	2413	0	15	0	17560592.229	92281534.489	-100.0	17	0	0x01	sky
212157.996	2413	0	23	3	21850772.774	89475254.594	477.8	25	7820	0x07	sky
212158.996	2413	0	24	0	21501212.682	112989634.421	2313.6	16	0	0x01	sky
212158.996	2413	0	7	0	21771977.349	114412512.609	-4173.4	26	0	0x01	synth
212158.996	2413	0	8	0	20004761.423	105125761.498	-706.2	30	1320	0x03	synth
212158.996	2413	0	12	0	23142858.456	121616541.573	-2509.8	17	0	0x01	sky
212158.996	2413	0	3	0	19811152.188	104108309.654	-2790.3	30	1320	0x03	synth
212158.996	2413	0	25	0	22840036.446	120025201.419	-2410.0	18	0	0x01	sky
212158.996	2413	0	4	0	20608757.402	108299746.020	-1963.9	28	1140	0x03	synth
212158.996	2413	0	15	0	17560612.041	92281638.727	-99.7	18	0	0x01	sky
212158.996	2413	0	23	3	21850657.424	89474777.333	477.4	25	8820	0x07	sky
212159.996	2413	0	24	0	21500773.771	112987327.920	2311.5	17	0	0x01	sky
212159.996	2413	0	7	0	21772768.536	114416670.158	-4164.2	26	0	0x01	synth
212159.996	2413	0	8	0	20004893.324	105126461.022	-699.5	30	2320	0x03	synth
212159.996	2413	0	12	0	23143335.076	121619045.978	-2510.5	18	0	0x01	sky
212159.996	2413	0	3	0	19811684.294	104111092.488	-2783.5	30	2320	0x03	synth
212159.996	2413	0	25	0	22840496.367	120027618.168	-2415.3	18	0	0x01	sky
212159.996	2413	0	4	0	20609130.280	108301709.966	-1956.4	28	100	0x03	synth
212159.996	2413	0	15	0	17560633.491	92281751.359	-113.9	18	0	0x01	sky
212159.996	2413	0	23	3	21850540.610	89474299.997	477.6	25	9820	0x07	sky
212160.996	2413	0	24	0	21500332.429	112985009.254	2314.3	17	0	0x01	sky
212160.996	2413	0	7	0	21773562.480	114420843.100	-4181.5	26	0	0x01	synth
212160.996	2413	0	8	0	20005028.089	105127171.218	-712.5	29	3320	0x0f	synth
212160.996	2413	0	12	0	23143816.735	121621577.112	-2522.1	18	0	0x01	sky
212160.996	2413	0	3	0	19812216.991	104113886.140	-2796.1	30	3320	0x0f	synth
212160.996	2413	0	25	0	22840953.152	120030018.494	-2396.4	18	0	0x01	sky
212160.996	2413	0	4	0	20609505.401	108303677.795	-1969.6	28	1100	0x03	synth
212160.996	2413	0	15	0	17560655.466	92281866.460	-111.9	19	0	0x01	sky
212160.996	2413	0	23	3	21850423.243	89473822.550	477.1	25	10820	0x07	sky
212161.996	2413	0	24	0	21499893.165	112982700.440	2302.1	16	0	0x01	sky
212161.996	2413	0	7	0	21774356.484	114425014.975	-4167.4	26	0	0x01	synth
212161.996	2413	0	8	0	20005165.610	105127876.811	-701.7	29	4320	0x0f	synth
212161.996	2413	0	12	0	23144294.143	121624086.257	-2509.6	19	0	0x01	sky
212161.996	2413	0	3	0	19812751.899	104116675.248	-2784.8	30	4320	0x0f	synth
212161.996	2413	0	25	0	22841410.858	120032424.117	-2412.6	18	0	0x01	sky
212161.996	2413	0	4	0	20609877.968	108305640.582	-1958.8	28	2100	0x03	synth
212161.996	2413	0	15	0	17560677.039	92281980.260	-102.9	19	0	0x01	sky
212161.996	2413	0	23	3	21850305.944	89473344.982	477.4	25	11820	0x07	sky
212162.996	2413	0	24	0	21499452.478	112980384.928	2314.7	16	0	0x01	sky
212162.996	2413	0	7	0	21775149.177	114429181.242	-4169.7	26	0	0x01	synth
212162.996	2413	0	8	0	20005297.709	105128574.011	-703.3	30	5320	0x0f	synth
212162.996	2413	0	12	0	23144774.672	121626611.255	-2502.6	19	0	0x01	sky
212162.996	2413	0	3	0	19813281.005	104119456.200	-2788.2	30	5320	0x0f	synth
212162.996	2413	0	25	0	22841869.003	120034831.519	-2402.8	18	0	0x01	sky
212162.996	2413	0	4	0	20610249.550	108307595.119	-1960.7	28	3100	0x03	synth
212162.996	2413	0	15	0	17560698.536	92282093.404	-122.0	18	0	0x01	sky
212162.996	2413	0	23	3	21850187.894	89472866.434	477.5	24	820	0x07	sky
212163.996	2413	0	24	0	21499012.858	112978074.885	2303.5	15	0	0x01	sky
212163.996	2413	0	7	0	21775944.221	114433359.158	-4177.0	26	0	0x01	synth
212163.996	2413	0	8	0	20005436.180	105129282.741	-712.1	30	6320	0x0f	synth
212163.996	2413	0	12	0	23145252.661	121629122.832	-2512.8	18	0	0x01	sky
212163.996	2413	0	3	0	19813812.388	104122248.600	-2794.9	30	6320	0x0f	synth
212163.996	2413	0	25	0	22842326.440	120037235.102	-2403.9	19	0	0x01	sky
212163.996	2413	0	4	0	20610624.743	108309561.235	-1969.2	28	4100	0x03	synth
212163.996	2413	0	15	0	17560718.312	92282197.557	-103.5	17	0	0x01	sky
212163.996	2413	0	23	3	21850070.994	89472388.654	477.8	24	1820	0x07	sky
212164.996	2413	0	24	0	21498574.470	112975771.309	2302.6	15	0	0x01	sky
212164.996	2413	0	7	0	21776739.769	114437538.970	-4169.2	25	0	0x01	synth
212164.996	2413	0	8	0	20005571.569	105129989.453	-700.1	29	7320	0x0f	synth
212164.996	2413	0	12	0	23145729.518	121631628.658	-2502.6	19	0	0x01	sky
212164.996	2413	0	3	0	19814343.632	104125039.351	-2784.7	30	7320	0x0f	synth
212164.996	2413	0	25	0	22842783.729	120039637.785	-2409.9	19	0	0x01	sky
212164.996	2413	0	4	0	20610996.756	108311525.526	-1957.8	28	5100	0x03	synth
212164.996	2413	0	15	0	17560737.653	92282298.901	-102.2	18	0	0x01	sky
212164.996	2413	0	23	3	21849952.900	89471911.061	477.3	24	2820	0x07	sky
212165.996	2413	0	24	0	21498135.482	112973464.280	2305.5	16	0	0x01	sky
212165.996	2413	0	7	0	21777534.903	114441717.994	-4165.6	25	0	0x01	synth
212165.996	2413	0	8	0	20005704.336	105130693.525	-702.6	29	8320	0x0f	synth
212165.996	2413	0	12	0	23146206.082	121634133.558	-2505.6	18	0	0x01	sky
212165.996	2413	0	3	0	19814874.626	104127827.440	-2787.1	29	8320	0x0f	synth
212165.996	2413	0	25	0	22843240.969	120042041.173	-2411.2	19	0	0x01	sky
212165.996	2413	0	4	0	20611371.557	108313487.155	-1960.1	28	6100	0x03	synth
212165.996	2413	0	15	0	17560761.027	92282421.641	-109.6	18	0	0x01	sky
212165.996	2413	0	23	3	21849836.955	89471433.771	476.9	25	3820	0x07	sky
212166.996	2413	0	24	0	21497695.227	112971150.883	2298.0	16	0	0x01	sky
212166.996	2413	0	7	0	21778328.068	114445885.658	-4170.9	25	0	0x01	synth
212166.996	2413	0	8	0	20005838.860	105131396.326	-704.4	29	9320	0x0f	synth
212166.996	2413	0	12	0	23146683.187	121636640.200	-2509.2	18	0	0x01	sky
212166.996	2413	0	3	0	19815405.079	104130614.252	-2788.2	29	9320	0x0f	synth
212166.996	2413	0	25	0	22843700.193	120044454.062	-2402.8	19	0	0x01	sky
212166.996	2413	0	4	0	20611744.772	108315447.760	-1962.8	28	7100	0x07	synth
212166.996	2413	0	15	0	17560784.085	92282542.402	-104.1	18	0	0x01	sky
212166.996	2413	0	23	3	21849721.150	89470956.615	476.9	25	4820	0x07	sky
212167.996	2413	0	24	0	21497257.092	112968847.640	2305.2	16	0	0x01	sky
212167.996	2413	0	7	0	21779121.397	114450054.895	-4175.2	25	0	0x01	synth
212167.996	2413	0	8	0	20005971.126	105132087.017	-709.8	29	520	0x03	synth
